rf_id,ee_name,ee_address_1,ee_address_2,ee_city,ee_state,ee_postcode,ee_country
38810454,"GENENTECH, INC., A CORP. OF CA",460 POINT SAN BRUNO BLVD.,,S. SAN FRANCISCO,CALIFORNIA,94080,
40920197,ANDOVER MEDICAL INCORPORATED; A CORP OF MA.,"341 MIDDLESEX ST.,",,"LOWELL,",MASSACHUSETTS,,
47550483,"AMERICAN UNDERWATER PRODUCTS, INC., DBA OCEANIC USA, A CA CORP.",,,,,,NOT PROVIDED
47550486,"AMERICAN UNDERWATER PRODUCTS, INC., DBA OCEANIC USA, A CA CORP.",,,,,,NOT PROVIDED
52890011,"RAYOVAC CORPORATION, A CORP. OF WI",,,,,,
53830335,MEDICAL GRAPHICS CORPORATION,350 OAK GROVE PARKWAY,A CORP. OF MN,ST. PAUL,MINNESOTA,55127,
54110150,"UNITED STATES OF AMERICA, THE, AS REPRESENTED BY THE SECRETARY OF THE ARMY",,,,,,
56020139,"FOAMEX L.P., A DE LIMITED PARTNERSHIP","823 WATERMAN AVENUE,",,"EAST PROVIDENCE,",RHODE ISLAND,02914,
56340976,"REGENTS OF THE UNIVERSITY OF MINNESOTA, A CORP. OF MINNESOTA","MORRILL HALL, 100 CHURCH STREET, SE",,MINNEAPOLIS,MINNESOTA,55455,
56710864,"LINVATEC CORPORATION, 11311 CONCEPT BOULEVARD, LARGO, FL 34643 A CORP OF FL",,,,FLORIDA,,
58430121,"OMNIPLANAR, INC.",A CORPORATION OF NJ,P.O. BOX 8558,PRINCETON,NEW JERSEY,08543,
59740222,"HOFFMANN-LA ROCHE, INC.",A CORPORATION OF NJ,340 KINGSLAND STREET,NUTLEY,NEW JERSEY,07110,
60360181,HUNTER ENGINEERING COMPANY,A MO CORP.,11250 HUNTER DRIVE,BRIDGETON,MISSOURI,63044,
62450628,"SPACELABS, INC., A CORP. OF CA",,15220 N.E. 40TH STREET,REDMOND,WASHINGTON,98073,
63360131,ELECTRONICS FOR IMAGING,2885 CAMPUS DRIVE,,SAN MATEO,CALIFORNIA,94403,
64200391,"ELECTRONICS FOR IMAGING, INC.",2855 CAMPUS DRIVE,,SAN MATEO,CALIFORNIA,94403,
66040496,"UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL, THE",300 BYNUM HALL,"OFFICE OF RESEARCH SERVICES, CAMPUS BOX 4100",CHAPEL HILL,NORTH CAROLINA,27599,
67970036,"MCGUIRE, DAVID A.",,4048 LAUREL STREET SUITE 202,ANCHORAGE,ALASKA,99508,
68000893,"ADIRONTEK, INC.",11 BONNIE AVE.,,NEW HARTFORD,NEW YORK,13413,
68540293,"T/R SYSTEMS, INC.",6145A NORTHBELT PARKWAY,,NORCROSS,GEORGIA,30071,
69400123,"T/R SYSTEMS, INC.",6145A NORTHBELT PARKWAY,,NORCROSS,GEORGIA,30071,
69500693,"ELECTRONICS FOR IMAGING, INC.",2855 CAMPUS DRIVE,,SAN MATEO,CALIFORNIA,94403,
69500695,"ELECTRONICS FOR IMAGING, INC.",2855 CAMPUS DRIVE,,SAN MATEO,CALIFORNIA,94403,
69850152,CREATIVE NAIL DESIGN SYSTEM INCORPORATED,2270 COSMOS COURT,,CARLSBAD,CALIFORNIA,92009,
70490753,DEGUSSA AKTIENGESELLSCHAFT,WEISSFRAUENSTRASSE 9,,60311 FRANKFURT AM MAIN,,,GERMANY
70900238,BOEHRINGER MANNHEIM CORPORATION,9115 HAGUE ROAD,POST OFFICE BOX 50528,INDIANAPOLIS,INDIANA,46250,
70910604,BOEHRINGER MANNHEIM CORPORATION,9115 HAGUE ROAD,P.O. BOX 50528,INDIANAPOLIS,INDIANA,46250,
71090455,"LEGARE, DAVID J.",11 BONNIE AVE.,,"NEW HARTFORD,",NEW YORK,13413,
71160197,KABI PHARMACIA AB,RAPSGATAN 7,,S-751 82 UPPSALA,,,SWEDEN
71190420,"ZOMED, INC.","1380 WILLOW ROAD, SUITE 102",,MENLO PARK,CALIFORNIA,94025,
71330090,"RONALD A. KATZ TECHNOLOGY LICENSING, L.P.","9401 WILSHIRE BLVD., STE. 800",,BEVERLY HILLS,CALIFORNIA,90212,
71530990,"UROPLASTY, INC.",,623 HOOVER STREET N.E.,MINNEAPOLIS,MINNESOTA,55413,
71850057,COSMAR CORPORATION,3 PICKWICK PLAZA,,GREENWICH,CONNECTICUT,06830,
72180452,FOAMEX L.P.,2060 NORTH BATAVIA STREET,,ORANGE,CALIFORNIA,92665,
73520598,ZOMED INTERNATIONAL,967 NORTH SHORELINE BOULEVARD,,MOUNTAIN VIEW,CALIFORNIA,94043,
73570842,ATMI ECOSYS CORPORATION,7 COMMERCE DRIVE,,DANBURY,CONNECTICUT,06810,
73580717,ZOMED INTERNATIONAL,967 NORTH SHORELINE BOULEVARD,,"MOUNTAIN VIEW,",CALIFORNIA,94043,
73720251,"B. BRAUN MEDICAL, INC. CARDIOVASCULAR DIVISION",1300 HIGHWAY 55,,PLYMOUTH,MINNESOTA,55441,
74600580,REGENTS OF THE UNIVERSITY OF MINNESOTA,MORRILL HALL,100 CHURCH STREET,MINNEAPOLIS,MINNESOTA,55455,
