rf_id,convey_ty,employer_assign
38810454,assignment,0
40920197,assignment,0
47550483,assignment,0
47550486,assignment,0
52890011,assignment,0
53830335,assignment,0
54110150,assignment,0
56020139,assignment,0
56340976,assignment,0
56710864,assignment,0
58430121,assignment,0
59740222,assignment,0
60360181,assignment,0
62450628,assignment,0
63360131,assignment,0
64200391,assignment,0
66040496,assignment,0
67970036,assignment,0
68000893,assignment,0
68540293,assignment,0
69400123,assignment,0
69500693,assignment,0
69500695,assignment,0
69850152,assignment,0
70490753,assignment,0
70900238,assignment,0
70910604,assignment,0
71090455,assignment,0
71160197,assignment,0
71190420,assignment,0
71330090,assignment,0
71530990,assignment,0
71850057,assignment,0
72180452,assignment,0
73520598,assignment,0
73570842,assignment,0
73580717,assignment,0
73720251,assignment,0
74600580,assignment,0
75130817,assignment,0
75970269,assignment,0
76060941,assignment,0
76060996,assignment,0
76250667,assignment,0
77110810,assignment,0
77370789,assignment,0
77540808,assignment,0
77580926,assignment,0
77610826,assignment,0
77830045,assignment,0
78510629,assignment,0
78570188,assignment,0
79850957,assignment,0
79910247,assignment,0
79910956,assignment,0
79980260,assignment,0
80790621,assignment,0
81220691,assignment,0
81220936,assignment,0
81270938,assignment,0
81280097,assignment,0
81370948,assignment,0
81560724,assignment,0
81560852,assignment,0
81560861,assignment,0
81790675,assignment,0
81820909,assignment,0
82000846,assignment,0
82080222,assignment,0
82080224,assignment,0
82150367,assignment,0
82160932,assignment,0
82290313,assignment,0
82470088,assignment,0
82590789,assignment,0
82670067,assignment,0
82680894,assignment,0
82840505,assignment,0
83210008,assignment,0
83210096,assignment,0
84010195,assignment,0
84440772,assignment,0
84470751,assignment,0
84490737,assignment,0
85020735,assignment,0
85190919,assignment,0
85530243,assignment,0
85790614,assignment,0
85870230,assignment,0
86030268,assignment,0
86120179,assignment,0
86350667,assignment,0
86780863,assignment,0
86860390,assignment,0
86930841,assignment,0
86990592,assignment,0
87140638,assignment,0
87160304,assignment,0
87310876,assignment,0
87580302,assignment,0
87580308,assignment,0
87710129,assignment,0
87830346,assignment,0
87940608,assignment,0
88010230,assignment,0
88310168,assignment,0
88510388,assignment,0
88760925,assignment,0
88770020,assignment,0
88910316,assignment,0
89080963,assignment,0
89200426,assignment,0
89200437,assignment,0
89330198,assignment,0
89430119,assignment,0
89620307,assignment,0
90110402,assignment,0
90150395,assignment,0
90150938,assignment,0
90200535,assignment,0
90260569,assignment,0
90890068,assignment,0
90950763,assignment,0
91580423,assignment,0
91600777,assignment,0
91670199,assignment,0
91680827,assignment,0
92050001,assignment,0
92450844,assignment,0
92790538,assignment,0
93130932,assignment,0
93190595,assignment,0
93720901,assignment,0
94070549,assignment,0
94330764,assignment,0
94340049,assignment,0
94580456,assignment,0
94740576,assignment,0
94790194,assignment,0
94790196,assignment,0
94900672,assignment,0
94900821,assignment,0
94900933,assignment,0
95030128,assignment,0
95030201,assignment,0
95060026,assignment,0
95060055,assignment,0
95060067,assignment,0
95060199,assignment,0
95060219,assignment,0
95060229,assignment,0
95060273,assignment,0
95060283,assignment,0
95060294,assignment,0
95060313,assignment,0
95060397,assignment,0
95060442,assignment,0
95060612,assignment,0
95060638,assignment,0
95080850,assignment,0
95090171,assignment,0
95340280,assignment,0
95340540,assignment,0
95340647,assignment,0
95800595,assignment,0
95860528,assignment,0
95880665,assignment,0
96040148,assignment,0
96050821,assignment,0
96050918,assignment,0
96510875,assignment,0
96700450,assignment,0
96740523,assignment,0
96770903,assignment,0
96870139,assignment,0
96880411,assignment,0
96890808,assignment,0
96990913,assignment,0
97030021,assignment,0
97070464,assignment,0
97070929,assignment,0
97110133,assignment,0
97110458,assignment,0
97150104,assignment,0
97280902,assignment,0
97300414,assignment,0
97310257,assignment,0
97480781,assignment,0
97640534,assignment,0
97650209,assignment,0
97650814,assignment,0
97810191,assignment,0
97880010,assignment,0
98100446,assignment,0
98220546,assignment,0
98320507,assignment,0
98320660,assignment,0
98330620,assignment,0
98420529,assignment,0
