rf_id,convey_ty,employer_assign
38810454,assignment,0
40580847,assignment,0
44900771,assignment,0
45530479,assignment,0
50150038,assignment,0
57780904,assignment,0
57870849,assignment,0
57870855,assignment,0
57870861,assignment,0
58600956,assignment,0
59060022,assignment,0
59060404,assignment,0
60220283,assignment,0
60240768,assignment,0
60830375,assignment,0
60830377,assignment,0
62310714,assignment,0
62530626,assignment,0
62550125,assignment,0
62700194,assignment,0
63890010,assignment,0
63900680,assignment,0
63950276,assignment,0
64190333,assignment,0
64350926,assignment,0
64670981,assignment,0
65880387,assignment,0
65880391,assignment,0
66660465,assignment,0
66660468,assignment,0
66660471,assignment,0
67070574,assignment,0
67820859,assignment,0
67950721,assignment,0
67950724,assignment,0
67950727,assignment,0
67990895,assignment,0
68040283,assignment,0
68220088,assignment,0
68260406,assignment,0
68300416,assignment,0
68390989,assignment,0
68430883,assignment,0
68440047,assignment,0
68620716,assignment,0
68690774,assignment,0
68690779,assignment,0
68790066,assignment,0
68980822,assignment,0
69140181,assignment,0
69160827,assignment,0
69240491,assignment,0
69240495,assignment,0
69240971,assignment,0
69570573,assignment,0
69650039,assignment,0
69650481,assignment,0
69700465,assignment,0
69730111,assignment,0
69790806,assignment,0
69840526,assignment,0
69840531,assignment,0
69840536,assignment,0
69860314,assignment,0
69860319,assignment,0
69900275,assignment,0
69900280,assignment,0
69930669,assignment,0
70000097,assignment,0
70180932,assignment,0
70220118,assignment,0
70290740,assignment,0
70410230,assignment,0
70440460,assignment,0
70460736,assignment,0
70500917,assignment,0
70940349,assignment,0
70960578,assignment,0
71220171,assignment,0
71250797,assignment,0
71350065,assignment,0
71720774,assignment,0
71850099,assignment,0
72210411,assignment,0
72330120,assignment,0
72360929,assignment,0
72560162,assignment,0
72710334,assignment,0
72720149,assignment,0
72860017,assignment,0
72920528,assignment,0
73130895,assignment,0
73140078,assignment,0
73140081,assignment,0
73210108,assignment,0
73230912,assignment,0
73230915,assignment,0
73370190,assignment,0
73370884,assignment,0
73560377,assignment,0
73590165,assignment,0
73610487,assignment,0
73670678,assignment,0
73670680,assignment,0
73670682,assignment,0
73840696,assignment,0
73940098,assignment,0
74000824,assignment,0
74010861,assignment,0
74060047,assignment,0
74210871,assignment,0
74420286,assignment,0
74440521,assignment,0
74530224,assignment,0
74530477,assignment,0
74550523,assignment,0
74590906,assignment,0
74670511,assignment,0
74690683,assignment,0
74750395,assignment,0
74860945,assignment,0
74870672,assignment,0
75070480,assignment,0
75090908,assignment,0
75130688,assignment,0
75220548,assignment,0
75260052,assignment,0
75260454,assignment,0
75270274,assignment,0
75280038,assignment,0
75290249,assignment,0
75330069,assignment,0
75540381,assignment,0
75560630,assignment,0
75570024,assignment,0
75570321,assignment,0
75590312,assignment,0
75590319,assignment,0
75600911,assignment,0
75600989,assignment,0
75610162,assignment,0
75750466,assignment,0
75890171,assignment,0
75930530,assignment,0
75970706,assignment,0
76270574,assignment,0
76350057,assignment,0
76410223,assignment,0
76420226,assignment,0
76490098,assignment,0
76530926,assignment,0
76600809,assignment,0
76760295,assignment,0
76990932,assignment,0
76990939,assignment,0
76990963,assignment,0
77070431,assignment,0
77110810,assignment,0
77140319,assignment,0
77200964,assignment,0
77210004,assignment,0
77230020,assignment,0
77310118,assignment,0
77360053,assignment,0
77450693,assignment,0
77510120,assignment,0
77510813,assignment,0
77540145,assignment,0
77680293,assignment,0
77680306,assignment,0
77680309,assignment,0
77680327,assignment,0
77680351,assignment,0
77680443,assignment,0
77730646,assignment,0
77840248,assignment,0
77920698,assignment,0
78040544,assignment,0
78050822,assignment,0
78060948,assignment,0
78120603,assignment,0
78370371,assignment,0
78530937,assignment,0
78660996,assignment,0
78670362,assignment,0
78760750,assignment,0
78780123,assignment,0
78900841,assignment,0
78900871,assignment,0
78920222,assignment,0
78970453,assignment,0
78980178,assignment,0
79070012,assignment,0
79160375,assignment,0
79160880,assignment,0
79200786,assignment,0
79220072,assignment,0
79280331,assignment,0
79290403,assignment,0
79290817,assignment,0
79310173,assignment,0
79310647,assignment,0
79350432,assignment,0
79410492,assignment,0
79470631,assignment,0
79470642,assignment,0
79680858,assignment,0
79730108,assignment,0
79840225,assignment,0
79850810,assignment,0
79860455,assignment,0
79880375,assignment,0
79890499,assignment,0
79890662,assignment,0
79910247,assignment,0
79960965,assignment,0
80010655,assignment,0
80020975,assignment,0
80030754,assignment,0
80050716,assignment,0
80070309,assignment,0
80070343,assignment,0
80180455,assignment,0
80200697,assignment,0
80210948,assignment,0
80250831,assignment,0
80260417,assignment,0
80270484,assignment,0
80270518,assignment,0
80320140,assignment,0
80370971,assignment,0
80400909,assignment,0
80400915,assignment,0
80430823,assignment,0
80500109,assignment,0
80560876,assignment,0
80570447,assignment,0
80600187,assignment,0
80600848,assignment,0
80610222,assignment,0
80630668,assignment,0
80640593,assignment,0
80680572,assignment,0
80680982,assignment,0
80830820,assignment,0
80880432,assignment,0
80920903,assignment,0
80930967,assignment,0
81000474,assignment,0
81010929,assignment,0
81050723,assignment,0
81070494,assignment,0
81180721,assignment,0
81220691,assignment,0
81280097,assignment,0
81290311,assignment,0
81310233,assignment,0
81380929,assignment,0
81440027,assignment,0
81440675,assignment,0
81440678,assignment,0
81440681,assignment,0
81440786,assignment,0
81440918,assignment,0
81460197,assignment,0
81500015,assignment,0
81570195,assignment,0
81590691,assignment,0
81610893,assignment,0
81630449,assignment,0
81640249,assignment,0
81690478,assignment,0
81690487,assignment,0
81700353,assignment,0
81730994,assignment,0
81800869,assignment,0
81810058,assignment,0
81820786,assignment,0
81850074,assignment,0
81870852,assignment,0
81880252,assignment,0
81890587,assignment,0
81890642,assignment,0
81980546,assignment,0
82050816,assignment,0
82070688,assignment,0
82100637,assignment,0
82120095,assignment,0
82190698,assignment,0
82260208,assignment,0
82260690,assignment,0
82300319,assignment,0
82300393,assignment,0
82340444,assignment,0
82340447,assignment,0
82350554,assignment,0
82350911,assignment,0
82360484,assignment,0
82370163,assignment,0
82370172,assignment,0
82390827,assignment,0
82420264,assignment,0
82480521,assignment,0
82630666,assignment,0
82680033,assignment,0
82730731,assignment,0
82820356,assignment,0
82890007,assignment,0
82900037,assignment,0
83020402,assignment,0
83020426,assignment,0
83040105,assignment,0
83040125,assignment,0
83050774,assignment,0
83060373,assignment,0
83090847,assignment,0
83160636,assignment,0
83190971,assignment,0
83210096,assignment,0
83250189,assignment,0
83250681,assignment,0
83250711,assignment,0
83290585,assignment,0
83320723,assignment,0
83360366,assignment,0
83380240,assignment,0
83390757,assignment,0
83390764,assignment,0
83390970,assignment,0
83490116,assignment,0
83510372,assignment,0
83520229,assignment,0
83550167,assignment,0
83550676,assignment,0
83560237,assignment,0
83580278,assignment,0
83580637,assignment,0
83620959,assignment,0
83710136,assignment,0
83710663,assignment,0
83710675,assignment,0
83710988,assignment,0
83720170,assignment,0
83720330,assignment,0
83810268,assignment,0
83880626,assignment,0
83890293,assignment,0
83900205,assignment,0
83930358,assignment,0
83940778,assignment,0
83980552,assignment,0
83990972,assignment,0
84010401,assignment,0
84060010,assignment,0
84080259,assignment,0
84100282,assignment,0
84110392,assignment,0
84150362,assignment,0
84180839,assignment,0
84180841,assignment,0
84200741,assignment,0
84240306,assignment,0
84250687,assignment,0
84260201,assignment,0
84260399,assignment,0
84260650,assignment,0
84270671,assignment,0
84290481,assignment,0
84310918,assignment,0
84320629,assignment,0
84320985,assignment,0
84370196,assignment,0
84400605,assignment,0
84410657,assignment,0
84420095,assignment,0
84500619,assignment,0
84510834,assignment,0
84510935,assignment,0
84530527,assignment,0
84560247,assignment,0
84560355,assignment,0
84560957,assignment,0
84590339,assignment,0
84590573,assignment,0
84590963,assignment,0
84600245,assignment,0
84600725,assignment,0
84620026,assignment,0
84640396,assignment,0
84670324,assignment,0
84670407,assignment,0
84690617,assignment,0
84710924,assignment,0
84720064,assignment,0
84750735,assignment,0
84760183,assignment,0
84790036,assignment,0
84790370,assignment,0
84820344,assignment,0
84890882,assignment,0
84900583,assignment,0
84910817,assignment,0
84920445,assignment,0
84930416,assignment,0
84940352,assignment,0
84960555,assignment,0
84980389,assignment,0
84990613,assignment,0
84990959,assignment,0
85020117,assignment,0
85020456,assignment,0
85080502,assignment,0
85080777,assignment,0
85090376,assignment,0
85090429,assignment,0
85090704,assignment,0
85110665,assignment,0
85150213,assignment,0
85170675,assignment,0
85180888,assignment,0
85190919,assignment,0
85220781,assignment,0
85250230,assignment,0
85260121,assignment,0
85260126,assignment,0
85260230,assignment,0
85270014,assignment,0
85270774,assignment,0
85280949,assignment,0
85300709,assignment,0
85340171,assignment,0
85340174,assignment,0
85350123,assignment,0
85360307,assignment,0
85360463,assignment,0
85360604,assignment,0
85360610,assignment,0
85360623,assignment,0
85360634,assignment,0
85380318,assignment,0
85400204,assignment,0
85430875,assignment,0
85460058,assignment,0
85460312,assignment,0
85480327,assignment,0
85480465,assignment,0
85510431,assignment,0
85510686,assignment,0
85550939,assignment,0
85560288,assignment,0
85580474,assignment,0
85580615,assignment,0
85580776,assignment,0
85660866,assignment,0
85670669,assignment,0
85700199,assignment,0
85700949,assignment,0
85700995,assignment,0
85710024,assignment,0
85720646,assignment,0
85730024,assignment,0
85730818,assignment,0
85760665,assignment,0
85770012,assignment,0
85780143,assignment,0
85790415,assignment,0
85790743,assignment,0
85810283,assignment,0
85810315,assignment,0
85810406,assignment,0
85830319,assignment,0
85830560,assignment,0
85940590,assignment,0
85970001,assignment,0
85970934,assignment,0
85980022,assignment,0
85980786,assignment,0
86010081,assignment,0
86030475,assignment,0
86030607,assignment,0
86070016,assignment,0
86070753,assignment,0
86070795,assignment,0
86110531,assignment,0
86130613,assignment,0
86160250,assignment,0
86170918,assignment,0
86190780,assignment,0
86190782,assignment,0
86200142,assignment,0
86200936,assignment,0
86220343,assignment,0
86230299,assignment,0
86240282,assignment,0
86240367,assignment,0
86240450,assignment,0
86250207,assignment,0
86270258,assignment,0
86280518,assignment,0
86320541,assignment,0
86340823,assignment,0
86380807,assignment,0
86400259,assignment,0
86400665,assignment,0
86410484,assignment,0
86410568,assignment,0
86430956,assignment,0
86440761,assignment,0
86490646,assignment,0
86510647,assignment,0
86520319,assignment,0
86520573,assignment,0
86530087,assignment,0
86560427,assignment,0
86580773,assignment,0
86660661,assignment,0
86670888,assignment,0
86690516,assignment,0
86720625,assignment,0
86740718,assignment,0
86760497,assignment,0
86760805,assignment,0
86760870,assignment,0
86770254,assignment,0
86780105,assignment,0
86800540,assignment,0
86800561,assignment,0
86870778,assignment,0
86880583,assignment,0
86920260,assignment,0
86940694,assignment,0
86950203,assignment,0
86960009,assignment,0
86970475,assignment,0
86970761,assignment,0
86980171,assignment,0
86990576,assignment,0
87010786,assignment,0
87020122,assignment,0
87030196,assignment,0
87050354,assignment,0
87060895,assignment,0
87080405,assignment,0
87110816,assignment,0
87140638,assignment,0
87160121,assignment,0
87160381,assignment,0
87170128,assignment,0
87190699,assignment,0
87200865,assignment,0
87210524,assignment,0
87210578,assignment,0
87220745,assignment,0
87280390,assignment,0
87280650,assignment,0
87290753,assignment,0
87300004,assignment,0
87300273,assignment,0
87350294,assignment,0
87360166,assignment,0
87370287,assignment,0
87380520,assignment,0
87380737,assignment,0
87380907,assignment,0
87390171,assignment,0
87390552,assignment,0
87410531,assignment,0
87410553,assignment,0
87430140,assignment,0
87430692,assignment,0
87440555,assignment,0
87450475,assignment,0
87460305,assignment,0
87480773,assignment,0
87490433,assignment,0
87550928,assignment,0
87560298,assignment,0
87570024,assignment,0
87580302,assignment,0
87590441,assignment,0
87620663,assignment,0
87670871,assignment,0
87680018,assignment,0
87690637,assignment,0
87710020,assignment,0
87710879,assignment,0
87720076,assignment,0
87720299,assignment,0
87740251,assignment,0
87750471,assignment,0
87750636,assignment,0
87770119,assignment,0
87770652,assignment,0
87780112,assignment,0
87780749,assignment,0
87780805,assignment,0
87790375,assignment,0
87790785,assignment,0
87790954,assignment,0
87790968,assignment,0
87810493,assignment,0
87810935,assignment,0
87820226,assignment,0
87840024,assignment,0
87850469,assignment,0
87850951,assignment,0
87860434,assignment,0
87870936,assignment,0
87890830,assignment,0
87910990,assignment,0
87930081,assignment,0
87940419,assignment,0
87950571,assignment,0
87960729,assignment,0
87960813,assignment,0
87960875,assignment,0
87990190,assignment,0
87990807,assignment,0
88000585,assignment,0
88010230,assignment,0
88020890,assignment,0
