rf_id,or_name,exec_dt,ack_dt
38810454,GOEDDEL DAVID V.,1981-04-16,
40920197,VAUGHN CORPORATION,1983-01-25,
47550483,"LEWIS, JOHN E.",1987-03-27,
47550486,"HOLLIS, ROBERT",1987-04-09,
52890011,TEKNA,1990-04-23,
53830335,"CRAWFORD, A. GERRIT",1990-07-19,
54110150,"SMITH, JONATHAN F.",1989-11-27,
56020139,"'21' INTERNATIONAL HOLDINGS, INC., A DE CORP.",1991-01-28,
56340976,"FUNKENBUSCH, ERIC F.",1991-02-08,
56340976,"HANGGI, DOUGLAS A.",1991-02-08,
56340976,"WEBER, THOMAS P.",1991-02-11,
56710864,"DAVIS, ROBERT",1991-04-02,
58430121,"BATTERMAN, ERIC P.",1991-07-17,
58430121,"CHANDLER, DONALD G.",1991-07-17,
59740222,CETUS CORPORATION,1991-12-11,
60360181,"COLARELLI, NICHOLAS J., III",1992-03-02,
62450628,"PELIKAN, GLENN W.",1992-08-19,
62450628,"HODJAT, HABIBI",1992-08-19,
62450628,"HARTWIG, ROBERT",1992-08-19,
63360131,"ARAZI, EFRAIM",1992-10-30,
64200391,"MEAD CORPORATION, THE",1993-02-05,
66040496,NORTH CAROLINA STATE UNIVERSITY,1993-06-14,
67970036,LINVATEC CORPORATION,1993-11-15,
68000893,"LEGARE, DAVID J.",1993-12-14,
68540293,"BARTHOLMAE, JACK N.",1993-11-02,
68540293,"TOMPKINS, E. NEAL",1993-11-02,
69400123,"BARTHOLMAE, JACK N.",1993-12-02,
69400123,"TOMPKINS, E. NEAL",1993-12-02,
69500693,"ACCAD, YIGAL",1994-03-17,
69500695,"STEINBERG, ERAN",1994-03-18,
69850152,"NORDSTROM, JAMES A.",1994-04-27,
69850152,"BRAGULLA, JANET E.",1994-04-27,
70490753,"BARTELS, KARIN",1994-05-17,
70490753,"DELLER, KLAUS",1994-05-17,
70490753,"DESPEYROUX, BERTRAND",1994-05-30,
70490753,"SIMON, JOCHEN",1994-05-18,
70900238,"WALLING, DOUGLAS P.",1994-07-01,
70900238,"BATESON, JOSEPH E.",1994-06-30,
70900238,"KUHN, LANCE S.",1994-07-01,
70900238,"OCHS, M. LUANN",1994-07-05,
70900238,"KOST, KENT M.",1994-07-06,
70900238,"GERBER, MARTIN T.",1994-08-01,
70910604,"HAN, CHI-NENG ARTHUR",1994-07-25,
71090455,"ADIRONTEK, INC.",1994-08-20,
71160197,"OSTERBERG, THOMAS",1994-05-06,
71160197,"FATOUROS, ANGELICA",1994-05-05,
71190420,GENESIS GROUP,1994-06-10,
71330090,FIRST DATA RESOURCES INC.,1994-09-17,
71530990,"ERSEK, ROBERT A.",1993-11-30,
71530990,"BEISANG, ARTHUR A.",1993-11-30,
71530990,"BEISANG, ARTHUR A., III",1993-11-30,
71850057,COSMAR CORPORATION,1994-08-18,
72180452,"BONADDIO, VINCENZO A.",1994-11-18,
72180452,"CONTRERAS, JOSE DEJESUS M.",1994-11-17,
73520598,"SHARKEY, HUGH R.",1995-02-16,
73570842,NOVAPURE CORPORTION,1994-12-29,
73580717,"SHARKEY, HUGH R.",1995-02-16,
73720251,"NOWAKOWSKI, KAROL L.",1995-03-13,
74600580,"CARR, PETER W.",1994-12-02,
74600580,"MCCORMICK, ALON V.",1994-12-05,
74600580,"ANNEN, MICHAEL J.",1994-12-09,
74600580,"SUN, LIFANG",1994-12-16,
74600580,"BROWN, JASON R.",1994-12-02,
75130817,"RANDOLPH, DAVID GEORGE",1995-05-26,
75970269,"CATHCART, BRUCE C.",1995-08-01,
75970269,"DEVRIES, ROBERT B.",1995-07-29,
