,ref_id,patent_id,assignment_conveyance,record_date,last_update_date,exec_date,name_assignee,city_assignee,country_assignee,assignor_name,patent_marked,coutnry_assignee
0,67980782,5387603,assignment,1993-12-01,1995-03-16,1993-11-24,"KISSEI PHARMACEUTICAL CO., LTD.",NAGANO-KEN,,"KITAZAWA, MAKIO",1,JAPAN
1,71350237,5585587,assignment,1994-09-07,2006-11-27,1994-08-29,YAMAHA CORPORATION,SHIZUOKA-KEN,,"INOUE, TOSHIHIRO",1,JAPAN
2,75720613,5750497,assignment,1995-07-10,1999-07-29,1995-04-03,NOVO NORDISK A/S,DK-2880 BAGSVAERD,,"HAVELUND, SVEND",1,DENMARK
3,39480087,3990872,namechg,1982-02-08,2010-10-15,1979-08-10,"MULTIFORM DESICCANTS, INC.,",nan,,"MULTIFORM DESICCANT PRODUCTS, INC.",1,nan
4,60860768,5248454,assignment,1992-04-10,2007-05-07,1992-04-06,"MUNTERS CORPORATION, A CORPORATION OF NEW YORK",FORT MEYERS,,"THOMAS, PATRICIA T.",1,nan
5,81830550,5675515,assignment,1996-05-22,1997-10-04,1996-05-22,HUNTER ENGINEERING COMPANY,BRIDGETON,,"JANUARY, DANIEL B.",1,nan
6,78230177,5724128,assignment,1995-12-28,1998-03-02,1995-12-27,HUNTER ENGINEERING COMPANY,BRIDGETON,,"JANUARY, DANIEL B.",1,nan
7,224160268,5628961,namechg,2009-03-19,2015-04-21,2006-09-14,ABBOTT POINT OF CARE INC.,PRINCETON,,I-STAT CORPORATION,1,nan
8,143270097,5470334,security,2003-08-01,2004-02-12,2002-08-28,"JPMORGAN CHASE BANK, AS ADMINISTRATIVE AGENT",HOUSTON,,LINVATEC CORPORATION,1,nan
9,185050868,5830182,namechg,2006-11-06,2017-10-24,2005-01-01,"BOSTON SCIENTIFIC SCIMED, INC.",MAPLE GROVE,,"SCIMED LIFE SYSTEMS, INC.",1,nan
10,78070072,5759160,assignment,1995-11-20,1999-07-29,1995-11-16,"UTAH MEDICAL PRODUCTS, INC.",MIDVALE,,"NEESE, JON",1,nan
11,85840989,5765457,assignment,1997-07-02,1999-08-02,1997-06-27,HUNTER ENGINEERING COMPANY,BRIDGETON,,"MEYER, THOMAS A.",1,nan
12,72620004,5453576,assignment,1994-10-24,2007-03-16,1994-10-22,"TRANSONIC SYSTEMS, INC.",ITHACA,,"KRIVITSKI, NIKOLAI M.",1,nan
13,69110844,5451388,assignment,1994-03-28,2008-01-02,1994-01-20,ENGELHARD CORPORATION,ISELIN,,"CHEN, JAMES M.",1,nan
14,75820253,5578283,assignment,1995-07-28,1996-11-22,1994-12-30,ENGELHARD CORPORATION,ISELIN,,"CHEN, JAMES M.",1,nan
15,77720522,5639650,assignment,1995-09-07,1997-06-14,1995-08-16,"UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL, THE",CHAPEL HILL,,"JOHNSTON, ROBERT E.",1,nan
16,69710618,5415311,assignment,1994-04-22,2008-07-11,1994-04-13,REES OPERATIONS PTY. LTD.,"CAMDEN PARK, SOUTH AUSTRALIA",,"COOGAN, JAMES D.",1,AUSTRALIA
17,56280025,5212546,assignment,1991-02-14,2002-01-18,1991-02-08,ELECTRONICS FOR IMAGING,nan,,"ARAZI, EFRAIM",1,nan
18,96620142,5752914,assignment,1998-12-22,1999-08-17,1996-05-08,NELLCOR PURITAN BENNETT INCORPORATED,PLEASANTON,,"DELONZOR, RUSSELL",1,nan
19,83190130,5818027,assignment,1996-11-22,1999-08-02,1996-11-11,INTERMEC CORPORATION,EVERETT,,"PARATORE, ROBERT M.",1,nan
20,84620961,5764681,assignment,1997-01-29,1999-08-02,1997-01-14,"CORNELL RESEARCH FOUNDATION, INC.",ITHACA,,"BALLANTYNE, JOSEPH M.",1,nan
21,40920197,4227762,assignment,1983-02-14,2009-03-18,1983-01-25,ANDOVER MEDICAL INCORPORATED; A CORP OF MA.,"LOWELL,",,VAUGHN CORPORATION,1,nan
22,60990667,5528490,assignment,1992-04-10,1996-07-23,1992-04-10,"CHARLES E. HILL & ASSOCIATES, INC., D/B/A CADDCENTERS, A CORP. OF DE",INDIANAPOLIS,,"HILL, CHARLES E.",1,nan
23,82760654,5828052,assignment,1996-10-24,1999-08-02,1996-10-22,INTERMEC CORPORATION,EVERETT,,"REYNOLDS, ANDREW E.",1,nan
24,170450343,5520693,security,2005-02-03,2006-04-11,2004-04-12,"WELLS FARGO BANK, N.A.",ANCHORAGE,,"MGGUIRE, DAVID A.",1,nan
25,82710325,5814742,assignment,1996-10-11,1999-08-02,1996-10-08,LC PACKINGS NEDERLAND B.V.,1057 HM AMSTERDAM,,"VISSERS, JOHANNES",1,NETHERLANDS
26,72600682,5467635,assignment,1994-12-12,2007-02-28,1994-12-01,SHIMADZU CORPORATION,"NAKAGYO-KU, KYOTO",,"NAKAGAWA, KAZUYA",1,JAPAN
27,63110748,5260614,assignment,1992-11-02,2007-11-07,1992-08-17,DEUTSCHE ITT INDUSTRIES GMBH,D-7800 FREIBURG,,"THEUS, ULRICH (NMN)",1,GERMANY
28,80550691,5772874,assignment,1996-06-11,1999-07-29,1996-06-07,"COHESIVE TECHNOLOGIES, INC.",ACTON,,"QUINN, HUBERT M.",1,nan
29,84390726,5795469,assignment,1997-03-14,1999-08-02,1997-01-29,"COHESIVE TECHNOLOGIES, INC.",ACTON,,"QUINN, HUBERT M.",1,nan
30,194070027,5803394,assignment,2007-06-01,2007-07-31,2007-05-20,"REELEX PACKAGING SOLUTIONS, INC.",PATTERSON,,"WINDINGS, INC.",1,nan
31,51580577,5015373,assignment,1989-10-12,2008-01-02,1989-10-10,"REGENTS OF THE UNIVERSITY OF MINNESOTA, MORRILL HALL, A CORP. OF MINNESOTA",MINNEAPOLIS,,"CARR, PETER W.",1,nan
32,69440923,5468743,assignment,1993-11-29,2007-10-18,1993-10-13,JANSSEN PHARMACEUTICA N.V.,BEERSE,,"JANSSENS, FRANS E.",1,BELGIUM
33,185050868,5658251,namechg,2006-11-06,2017-10-24,2005-01-01,"BOSTON SCIENTIFIC SCIMED, INC.",MAPLE GROVE,,"SCIMED LIFE SYSTEMS, INC.",1,nan
