assignee_id,assignee_organization,assignee_type,assignee_lastknown_country,assignee_total_num_patents,assignee_total_num_inventors,nb_marked_patents,proportion_marked_patents
067e1110-7638-4840-8dfb-cc9434d518f1,INSTITUT PASTEUR,3,FR,821,1098,2,0.002
075fddd9-f31f-410e-a474-b4bb2283ef7e,Quinton Instrument Company,2,US,50,63,4,0.08
07dba387-b236-4355-bbfc-a2c33873f7a7,Cosmar Corporation,2,US,9,11,1,0.111
07ff496c-cec2-416d-9b5a-13a6fbd03c38,"Varitronic Systems, Inc.",2,US,18,16,1,0.056
0f63d31a-dac4-4326-afe8-e0d9ca77e826,SHIMADZU CORPORATION,3,JP,2479,1596,100,0.04
1186cb49-c643-4990-9a2d-08e7d551f8b7,"NPS Allelix Biopharmaceuticals, Inc.",3,CA,69,64,1,0.014
120d147d-ac48-4a52-a41e-cedc464cc958,President and Fellows of Harvard College,2,US,2117,2669,7,0.003
13e881d2-78d7-4d39-80b6-02604e3d8b73,"Advanced Cardiovascular Systems, Inc.",2,US,1515,706,95,0.063
160d9b58-249d-45b2-9b0c-2eb6229138a9,"AYLWARD ENTERPRISES, LLC",2,US,20,6,12,0.6
16509bf3-fd9f-4e05-b2fb-f30e44500091,CommScope Technologies LLC,2,US,1387,812,9,0.006
16a6e106-8929-47a8-b3b6-d3b8afc40510,COOPER TECHNOLOGIES COMPANY,2,US,2440,1658,2,0.001
18193997-6330-413e-b31b-0bb75a36d008,AT&T Technologies Incorporated,2,US,4752,4205,3,0.001
1c130e09-0947-4be1-bd3a-02a63fdec543,ES Robbins Corporation,2,US,4,2,1,0.25
1cba5d13-bbd9-4637-9ad5-d458b241347e,NELLCOR PURITAN BENNETT IRELAND,3,IE,480,299,32,0.067
1dae6353-3463-4d3e-bce8-63d7591bbfbb,Rees Operations Pty Ltd,3,AU,9,12,1,0.111
2070f124-f07f-4f6e-ae97-ab8e177ff0bb,Linfinity Microelectronics,2,US,29,15,7,0.241
22e29176-1282-4785-bdfe-9fbcc05f54e7,Board of Regents of Univ of Nebraksa,2,US,1,2,1,1.0
293c5427-8844-46fb-ba1c-ca62cb3956e3,"Allen Medical Systems, Inc.",2,US,224,115,25,0.112
2986e46e-7937-477f-9bc5-1f5eec05183f,Rocktron Corporation,2,US,6,3,4,0.667
2a816ef7-14f8-4b03-8d44-8fe7e975ffd2,Oceanic USA,2,US,1,3,1,1.0
2c4e8191-ed62-47bb-bd72-32f979fac9a7,Creative Nail Design System Incorporated,2,US,2,4,1,0.5
