,patent_number,patent_title,patent_date,patent_kind,assignee_id
0,5387603,"1,5,7-trisubstituted indoline compounds and salts thereof",1995-02-07,A,5330279e-a21e-438c-80d1-7e6ae793c092
1,5771295,5-2-5 matrix system,1998-06-23,A,2986e46e-7937-477f-9bc5-1f5eec05183f
2,5585587,Acoustic image localization apparatus for distributing tone color groups throughout sound field,1996-12-17,A,f7152515-d420-42d9-a7b6-3a2796bc5d10
3,5321490,Active near-field object sensor and method employing object classification techniques,1994-06-14,A,ec72750e-f789-4749-91f7-6292f7c6fda7
4,5750497,Acylated insulin,1998-05-12,A,9a3afa40-66e5-4921-b831-64287f2052e0
5,5560577,Adjustable limb support system,1996-10-01,A,293c5427-8844-46fb-ba1c-ca62cb3956e3
6,5582379,Adjustable limb support system,1996-12-10,A,293c5427-8844-46fb-ba1c-ca62cb3956e3
7,3990872,Adsorbent package,1976-11-09,A,48b497e8-44f1-4e63-9e77-007cfb3707eb
8,5742002,Air-dielectric coaxial cable with hollow spacer element,1998-04-21,A,aefead8b-f669-48a7-8160-11150e8fdbca
9,5248454,Algae resistant edge coating,1993-09-28,A,2d581cc5-9324-4ca6-ad31-b5c6499c6868
10,5680857,Alignment guide system for transmissive pulse oximetry sensors,1997-10-28,A,a467fec6-886c-490f-82cd-6b90563b55be
11,5792462,Alphavirus RNA replicon systems,1998-08-11,A,614585b3-ae9b-4662-8d5d-acb52b19cffd
12,5391170,Angled surgical screw driver and methods of arthroscopic ligament reconstruction,1995-02-21,A,8327837f-3ac3-4a6c-9dc3-817e3b3adaed
13,5424754,Animated windows with multi-choice variants and analog controls,1995-06-13,A,6cbd7aee-d494-4a50-8884-ab4dc2c763de
14,5793337,Antennas disposed on separate ground planes,1998-08-11,A,75e5355d-37bc-47b3-84b1-755a0afbe59f
15,5716981,Anti-angiogenic compositions and methods of use,1998-02-10,A,fab52a19-d63d-4055-9723-d03ef632e119
16,5598144,Anti-theft vehicle system,1997-01-28,A,cbc06cfb-edb8-4df9-bcd3-4a205a3d584f
17,5821856,Anti-theft vehicle system,1998-10-13,A,ba14859e-591a-4e92-8e15-b58bb4833e0d
18,5831530,Anti-theft vehicle system,1998-11-03,A,ba14859e-591a-4e92-8e15-b58bb4833e0d
19,5815648,Apparatus and method for changing the cache mode dynamically in a storage array system,1998-09-29,A,a33fa122-5e85-4566-89f4-d8b1f325d132
