,assignee_id,assignee_organization,assignee_type,assignee_lastknown_country,assignee_total_num_patents,assignee_total_num_inventors,nb_marked_patents,proportion_marked_patents,A,B,C,D,E,F,G,H,proportion_multi_ipc,proportion_A_ipc,proportion_B_ipc,proportion_C_ipc,proportion_D_ipc,proportion_E_ipc,proportion_F_ipc,proportion_G_ipc,proportion_H_ipc
0,067e1110-7638-4840-8dfb-cc9434d518f1,INSTITUT PASTEUR,3,FR,570,1098,0,0.0,299,3,432,0,0,0,108,0,0.41578947368421054,0.35510688836104515,0.0035629453681710215,0.5130641330166271,0.0,0.0,0.0,0.12826603325415678,0.0
4,0f63d31a-dac4-4326-afe8-e0d9ca77e826,SHIMADZU CORPORATION,3,JP,1964,1596,96,0.048879837067209775,242,262,105,5,1,163,1094,710,0.285132382892057,0.09372579395817196,0.10147172734314484,0.04066615027110767,0.0019364833462432224,0.0003872966692486445,0.06312935708752905,0.42370255615801705,0.2749806351665376
5,1186cb49-c643-4990-9a2d-08e7d551f8b7,"NPS Allelix Biopharmaceuticals, Inc.",3,CA,11,64,0,0.0,3,0,11,0,0,0,0,0,0.2727272727272727,0.21428571428571427,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0
6,120d147d-ac48-4a52-a41e-cedc464cc958,President and Fellows of Harvard College,2,US,1663,2669,6,0.0036079374624173183,549,317,919,14,3,74,516,197,0.43415514131088395,0.21205098493626884,0.12244109694862881,0.35496330629586714,0.005407493240633449,0.0011587485515643105,0.02858246427191966,0.1993047508690614,0.07609115488605639
7,13e881d2-78d7-4d39-80b6-02604e3d8b73,"Advanced Cardiovascular Systems, Inc.",2,US,1243,706,91,0.07320997586484312,1004,278,76,1,0,2,9,5,0.09654062751407884,0.7301818181818182,0.20218181818181818,0.05527272727272727,0.0007272727272727272,0.0,0.0014545454545454545,0.006545454545454545,0.0036363636363636364
8,160d9b58-249d-45b2-9b0c-2eb6229138a9,"AYLWARD ENTERPRISES, LLC",2,US,18,6,11,0.6111111111111112,0,17,1,0,0,0,1,0,0.05555555555555555,0.0,0.8947368421052632,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0
9,16509bf3-fd9f-4e05-b2fb-f30e44500091,CommScope Technologies LLC,2,US,1309,812,7,0.0053475935828877,15,67,6,1,10,54,668,905,0.29488158899923606,0.00869061413673233,0.0388180764774044,0.0034762456546929316,0.0005793742757821553,0.005793742757821553,0.031286210892236384,0.3870220162224797,0.5243337195828505
10,16a6e106-8929-47a8-b3b6-d3b8afc40510,COOPER TECHNOLOGIES COMPANY,2,US,1292,1658,1,0.0007739938080495357,19,112,9,0,51,482,219,711,0.19891640866873064,0.011852776044915784,0.06986899563318777,0.0056144728633811605,0.0,0.031815346225826574,0.3006862133499688,0.13661883967560823,0.44354335620711166
11,18193997-6330-413e-b31b-0bb75a36d008,AT&T Technologies Incorporated,2,US,2606,4205,2,0.0007674597083653108,6,22,4,0,3,14,1056,1621,0.045663852647735995,0.0022010271460014674,0.008070432868672046,0.001467351430667645,0.0,0.0011005135730007337,0.005135730007336757,0.3873807776962582,0.5946441672780631
13,1cba5d13-bbd9-4637-9ad5-d458b241347e,NELLCOR PURITAN BENNETT IRELAND,3,IE,372,299,25,0.06720430107526881,321,2,2,2,0,8,70,15,0.12365591397849462,0.7642857142857142,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.0,0.01904761904761905,0.16666666666666666,0.03571428571428571
14,1dae6353-3463-4d3e-bce8-63d7591bbfbb,Rees Operations Pty Ltd,3,AU,4,12,0,0.0,0,4,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2070f124-f07f-4f6e-ae97-ab8e177ff0bb,Linfinity Microelectronics,2,US,11,15,4,0.36363636363636365,0,0,0,0,0,0,5,7,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.5833333333333334
17,293c5427-8844-46fb-ba1c-ca62cb3956e3,"Allen Medical Systems, Inc.",2,US,94,115,22,0.23404255319148937,61,19,0,0,15,4,2,1,0.0851063829787234,0.5980392156862745,0.18627450980392157,0.0,0.0,0.14705882352941177,0.0392156862745098,0.0196078431372549,0.00980392156862745
